work_load_size,work_load_type,run_number,insert_time,delete_time,enumerate_prefix_time,exact_search_time,prefix_search_time,full_traversal_time,memory_usage,node_count,avg_branching_factor,prefix_frequency,seeds,trie_type
100000,words,6,33002800,61042000,500,1500,800,300,4368184,24178,1.4076855895196507,0.0,,Standard Trie
100000,words,7,29932900,59302500,500,2900,800,300,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,8,31607900,59148500,500,1800,800,400,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,9,30654900,59544000,500,2600,600,300,4367904,24176,1.407651100500757,0.0,,Standard Trie
100000,words,10,29750700,59972300,800,2100,600,300,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,11,30619000,59487300,600,2600,700,200,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,12,32141000,61583200,500,2800,800,300,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,13,32482600,61279900,900,2400,800,400,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,14,32093500,62971900,400,1900,600,300,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,15,33472600,60843600,600,1600,1300,400,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,16,31333800,60489900,500,2200,1000,400,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,17,31366300,74537500,400,1800,500,300,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,18,41099600,61057000,800,2700,2200,600,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,19,31971400,60975700,400,2400,700,300,4367488,24175,1.4077568134171907,0.0,,Standard Trie
100000,words,0,42276300,66609900,1900,26800,7600,500,1813440,9973,2.0818371607515656,0.0,,Compressed Trie
100000,words,1,30879900,65935200,1900,41500,5400,500,1829392,10049,2.077750206782465,0.0,,Compressed Trie
100000,words,2,27456300,65455700,1800,20200,6100,500,1829160,10047,2.0769071738681,0.0,,Compressed Trie
100000,words,3,31486400,91527900,2000,20000,2400,500,1829224,10046,2.076700434153401,0.0,,Compressed Trie
100000,words,4,35037500,68703200,2300,26100,2600,500,1829664,10046,2.076700434153401,0.0,,Compressed Trie
100000,words,5,28168600,68476300,2200,21000,3400,600,1828144,10044,2.0771458117890385,0.0,,Compressed Trie
100000,words,6,28784500,68053500,1700,18100,3200,500,1828952,10046,2.076700434153401,0.0,,Compressed Trie
100000,words,7,28208600,65180600,1800,23700,4600,500,1830032,10046,2.076700434153401,0.0,,Compressed Trie
100000,words,8,31638900,68001100,2000,20000,5100,400,1829696,10046,2.076700434153401,0.0,,Compressed Trie
100000,words,9,28772800,69874000,1900,23000,7600,500,1830040,10046,2.076700434153401,0.0,,Compressed Trie
100000,words,10,30622500,67264700,2000,24000,2500,500,1828944,10046,2.076700434153401,0.0,,Compressed Trie
100000,words,11,30091800,71166100,2100,19700,4100,500,1829112,10045,2.076923076923077,0.0,,Compressed Trie
100000,words,12,27645700,68431400,1900,21100,7400,500,1828792,10045,2.076493694438702,0.0,,Compressed Trie
100000,words,13,29001000,68843300,2700,23100,2700,600,1830032,10046,2.076700434153401,0.0,,Compressed Trie
100000,words,14,29222800,70737200,1800,18100,5100,600,1829696,10046,2.076700434153401,0.0,,Compressed Trie
100000,words,15,29420500,68204900,2100,23500,4800,900,1829120,10045,2.076923076923077,0.0,,Compressed Trie
100000,words,16,29947300,70176300,2200,23000,6300,500,1829696,10046,2.076700434153401,0.0,,Compressed Trie
100000,words,17,28970100,82212700,2500,23500,5000,600,1829280,10046,2.076700434153401,0.0,,Compressed Trie
100000,words,18,36101400,91039200,1900,21600,8600,500,1828952,10046,2.076700434153401,0.0,,Compressed Trie
100000,words,19,32680200,94071400,2100,18300,3000,900,1830032,10046,2.076700434153401,0.0,,Compressed Trie
100000,words,0,30449400,62336300,1100,4100,900,500,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,1,32272000,56565300,600,2500,600,300,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,2,30218100,58788500,500,1600,600,300,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,3,31345700,76795400,500,2000,800,300,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,4,30496200,59599000,500,1800,1400,300,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,5,33369800,58828200,600,2400,700,400,4367488,24175,1.4077568134171907,0.0,,Standard Trie
100000,words,6,30790400,62765400,400,2100,800,300,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,7,31737300,58622200,600,1600,800,400,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,8,31114400,58971600,500,2100,900,300,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,9,29783000,59227300,700,1700,700,200,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,10,30614200,60842300,500,1900,700,300,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,11,33269400,60782700,500,1600,800,200,4368000,24178,1.4077675556073135,0.0,,Standard Trie
100000,words,12,33285000,61537400,700,2200,600,200,4368000,24178,1.4077675556073135,0.0,,Standard Trie
100000,words,13,31255300,59651700,400,1400,600,300,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,14,31725800,61616600,700,1500,1200,300,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,15,31553900,61473100,400,2000,900,400,4368184,24178,1.4076855895196507,0.0,,Standard Trie
100000,words,16,34341600,61522700,500,2100,700,300,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,17,32137500,78428000,600,2100,700,200,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,18,38706100,66842800,500,1700,800,400,4368232,24179,1.4077438136826783,0.0,,Standard Trie
100000,words,19,49124800,62064900,500,2600,1300,300,4368232,24179,1.4077438136826783,0.0,,Standard Trie
